"FinessGeo";"cpx";"2015";"2016";"2017";"2018";"2019"
"010000024";0;35.29;43.53;38.52;30.26;35.82
"010000024";1;25;77.78;85.71;57.14;83.33
"010000032";0;56.52;59.38;66.67;74.63;55.32
"010000032";1;54.55;72.41;65;80;46.15
"010005239";0;92.04;82.3;82.81;82.07;75.19
"010005239";1;100;100;100;85.71;100
"010780195";0;33.54;31.71;33.56;30.42;38.35
"010780195";1;62.5;57.14;71.43;69.23;87.5
"010780203";0;61.43;50;58.65;70.18;62.84
"010780203";1;66.67;33.33;100;50;44.44
"020000162";0;17.92;25.95;11.4;9.01;16.41
"020000162";1;33.33;50;100;NA;100
"020000360";0;5.05;NA;NA;NA;17.28
"020000394";0;43.21;25.3;28.81;28.92;7.69
"020000394";1;58.33;28.57;36.36;44.44;30
"020000519";0;29.9;17.9;35.57;24.03;28.21
"020000519";1;50;37.5;NA;50;40
"020000535";0;62.07;56.67;52.63;50;15.38
"020000535";1;50;66.67;100;100;100
"020001061";0;59.38;40;52.63;53.33;36.84
"020010047";0;10.55;12.69;10.31;11.09;15.21
"020010047";1;21.33;20;29.03;41.18;33.33
"030000061";0;50.59;40.51;38.82;42.71;50
"030000061";1;57.14;64.29;64.71;60;28.57
"030000079";0;52.08;50.94;43.02;51.11;63.08
"030000079";1;57.14;72.73;70;41.67;80
"030000087";0;17.42;18.61;17.32;16.39;15.84
"030000087";1;45.16;38.46;39.29;31.58;42.11
"030781116";0;41.6;43.51;34.85;30.63;27.55
"030781116";1;73.47;59.65;58.62;47.37;55.56
"030785430";0;31.44;31.45;20.27;21.24;22.08
"030785430";1;50;87.5;33.33;66.67;69.23
"040000093";0;41.84;43.52;52.88;46.53;20.24
"040000093";1;80;55.56;100;66.67;NA
"040000911";0;20.69;33.64;30.83;40.78;72.29
"040000911";1;50;NA;50;50;60
"040780470";0;60.65;57.84;59.69;60.59;64.53
"040780470";1;66.67;71.43;54.55;80;77.78
"050000090";0;73.13;60.65;61.45;58.47;73.45
"050000090";1;89.47;78.69;91.67;80;100
"050000231";0;87.88;84.38;80;77.78;75.51
"050000231";1;100;100;66.67;NA;50
"050000348";0;32.89;32.46;35.15;42.65;46.09
"050000348";1;33.33;42.86;25;55.56;100
"060000478";0;69.47;55.66;61.64;45.45;51.19
"060000478";1;100;90;64.29;55.56;40
"060000510";0;63.45;61.71;60.48;53.77;61.73
"060000510";1;68.75;66.67;70;58.33;73.68
"060000544";0;23.53;39.76;23.08;27.55;52.67
"060000544";1;20;50;NA;29.03;75
"060001450";0;36.21;50;NA;NA;NA
"060002102";0;48.72;42.24;38.18;43.21;62
"060002102";1;50;100;43.75;71.43;86.67
"060021417";0;50;42.53;31.75;31.63;41.84
"060021417";1;50;66.67;NA;83.33;50
"060780491";0;46.38;43.75;40;33.87;50
"060780491";1;55.56;33.33;72.22;55.56;9.09
"060780517";0;51.06;46.37;44.65;39.2;47.86
"060780517";1;85;53.85;50;78.57;75
"060780590";0;73.4;69.37;71.32;64.29;52.98
"060780590";1;80;50;62.5;66.67;66.67
"060780665";0;53.12;69.23;63.16;63.64;NA
"060780665";1;55.56;45.45;42.86;NA;NA
"060780715";0;55.85;47.48;29.66;23.84;20.16
"060780715";1;72;66.67;45.45;83.33;46.67
"060780723";0;30;24;26.19;34.67;52.31
"060781200";0;45.32;47.1;34.85;52.9;49.12
"060781200";1;100;NA;NA;NA;50
"060785003";0;100;50;53.51;63.69;64.68
"060785003";1;100;50;62.96;70.27;86.05
"060789195";0;57.78;47.88;NA;NA;NA
"060789195";1;64.71;57.78;NA;NA;NA
"060800166";0;38.89;39.47;36.02;40.57;35.23
"060800166";1;57.14;47.83;52;63.64;64.29
"070000013";0;40;40.74;40;46.15;36.36
"070000013";1;66.67;33.33;66.67;33.33;66.67
"070000179";0;45.71;40.54;27.78;36.36;41.54
"070000179";1;66.67;50;61.11;53.33;71.43
"070000609";0;45;48.57;40;50;27.66
"070000609";1;100;66.67;NA;66.67;100
"070780168";0;28.57;30.95;42.98;38.94;31.58
"070780168";1;22.22;NA;80;60;60
"070780408";0;43.45;35.8;28.36;36.51;NA
