finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop;cpx;X2015;X2016;X2017;X2018;X2019
250000270;25;539465;38.26;1;1;1;23;0.421052632;0.333333333;0.128;0.046875;0.037814905;1;7;659;2.02;3.13;0;0;0;0;0;70;60;65;29;63;9;11;10.65872483;5.642281879;9556.728188;0;26.78;28.71;29;29.41;28.2
250000270;25;539465;38.26;1;1;1;23;0.421052632;0.333333333;0.128;0.046875;0.037814905;1;7;659;2.02;3.13;0;0;0;0;0;70;60;65;29;63;9;11;10.65872483;5.642281879;9556.728188;1;67.57;80.95;60;75;77.78
310780150;31;1390496;34.06;0;0;0;119;0.525;0.29787234;0.13592233;0.153621665;0.080388923;1;28;1388;3.29;4.13;0;0;0;0;0;69;49;69;41;61;130;91;23.75410628;13.6373591;18675.99195;0;53.98;52.29;45.96;42.98;40.8
310780150;31;1390496;34.06;0;0;0;119;0.525;0.29787234;0.13592233;0.153621665;0.080388923;1;28;1388;3.29;4.13;0;0;0;0;0;69;49;69;41;61;130;91;23.75410628;13.6373591;18675.99195;1;61.22;80.88;72.84;63.79;70.83
310783048;31;1390496;34.06;0;0;0;62;0.567567568;0.328125;0.138613861;0.391993012;0.068845168;1;36;792;3.35;4.23;0;0;0;0;0;45;45;46;34;45;130;74;21.9941896;13.05688073;24855.4526;0;25.75;25.21;25.77;34.33;38.87
310783048;31;1390496;34.06;0;0;0;62;0.567567568;0.328125;0.138613861;0.391993012;0.068845168;1;36;792;3.35;4.23;0;0;0;0;0;45;45;46;34;45;130;74;21.9941896;13.05688073;24855.4526;1;42.42;35.48;36.67;60.71;51.85
330000340;33;1620243;37.61;1;1;0;39;0.420689655;0.144893112;0.102006689;0.068817005;0.052981068;1;20;100;3.49;4.34;0;0;0;0;0;47;43;33;23;46;54;9;20.51509434;12.90188679;40591.13208;0;42.96;48.17;41.05;43.17;38.46
330000340;33;1620243;37.61;1;1;0;39;0.420689655;0.144893112;0.102006689;0.068817005;0.052981068;1;20;100;3.49;4.34;0;0;0;0;0;47;43;33;23;46;54;9;20.51509434;12.90188679;40591.13208;1;58.82;53.33;60.87;77.78;76.92
330781360;33;1620243;37.61;1;1;1;38;0.564814815;0.160949868;0.109318996;0.406130627;0.052139667;1;35;274;3.01;4.01;0;0;0;0;0;49;52;46;26;51;60;19;18.55909091;10.75454545;23059.64205;0;20.68;19.21;16.53;21.43;21.46
330781360;33;1620243;37.61;1;1;1;38;0.564814815;0.160949868;0.109318996;0.406130627;0.052139667;1;35;274;3.01;4.01;0;0;0;0;0;49;52;46;26;51;60;19;18.55909091;10.75454545;23059.64205;1;36.84;27.78;37.5;48.39;50
