finess;departement;totpop;popplus50;gagnant;pth;ptg;strength_total;closeness_all;centrality;prestige;betweenness;pagerank;triangles;degree;nbpatients;acc_kines;acc_nurse;tamin_chir;tamin_ssr;tamin_longstay;tamin_ssiad;tamin_rhumato;tamax_chir;tamiax_ssr;tamax_longstay;tamax_ssiad;tamax_rhumato;nb_csip;nb_ssiad;density_nurse;density_kine;pop;SSR;TOTAL;Taux
250000270;25;539465;38.26;1;1;1;23;0.421052631578947;0.333333333333333;0.128;0.046875;0.0378149052104374;1;7;391;1.88;2.99;0;0;0;0;0;70;60;60;27;57;8;9;9.79895287958115;5.39895287958115;8607.23560209424;13;14;92.86
310780150;31;1390496;34.06;0;0;0;119;0.525;0.297872340425532;0.135922330097087;0.153621665468355;0.0803889234738033;1;28;953;3.28;4.16;0;0;0;0;0;69;49;69;41;61;128;81;24.0213883677298;13.6178236397749;18792.052532833;91;94;96.81
310783048;31;1390496;34.06;0;0;0;62;0.567567567567568;0.328125;0.138613861386139;0.391993011505207;0.0688451675977476;1;36;305;3.3;4.1;0;0;0;0;0;41;37;46;28;39;128;69;21.4370165745856;13.2066298342541;33289.0165745856;32;46;69.57
330000340;33;1620243;37.61;1;1;0;39;0.420689655172414;0.144893111638955;0.102006688963211;0.0688170049440541;0.0529810679982379;1;20;57;3.67;4.61;0;0;0;0;0;29;32;33;23;23;54;8;21.4388888888889;12.8027777777778;53827.75;14;19;73.68
330781360;33;1620243;37.61;1;1;1;38;0.564814814814815;0.160949868073879;0.109318996415771;0.406130627114234;0.0521396666820427;1;35;173;3.18;4.29;0;0;0;0;0;49;52;36;26;51;8;10;20.266;12.102;17759.11;11;25;44
330782582;33;1620243;37.61;1;1;1;25;0.358823529411765;0.141203703703704;0.0966719492868463;0.0604826958105647;0.043273216691243;1;13;89;3.25;4;0;0;12;0;0;35;32;38;33;35;54;7;17.7892857142857;11.5678571428571;56293.3214285714;7;9;77.78
340780634;34;1165412;40.13;0;0;0;38;0.403100775193798;0.220338983050847;0.0723226703755216;0.137496823186868;0.0406162631915685;1;18;123;4.23;4.98;0;0;0;0;0;44;36;44;32;44;38;32;26.3906976744186;19.4127906976744;30758.0581395349;21;24;87.5
350000121;35;1076330;35.9;1;1;1;18;0.237113402061856;0.0819964349376114;0.100877192982456;0.224106280193237;0.040260995693195;1;14;103;2.48;3.15;0;0;0;0;0;41;23;30;36;42;4;5;13.2356164383562;7.11506849315068;10905.397260274;16;18;88.89
400780342;40;409325;46.7;0;0;0;11;0.224137931034483;0.110169491525424;0.171052631578947;0;0.054304570536947;1;5;63;3.5;3.4;6;0;6;0;0;29;18;27;23;29;0;1;16.6047619047619;14.6309523809524;14350.1666666667;1;5;20
420010050;42;762222;41.29;0;0;0;84;0.245454545454545;0.182432432432432;0.143617021276596;0.0947056030389364;0.118733354856897;1;17;206;2.74;3.98;0;0;0;0;0;46;42;66;23;46;40;46;17.6927835051546;9.6639175257732;22624.824742268;50;53;94.34
570001057;57;1036153;41.22;1;1;1;43;0.266233766233766;0.220430107526882;0.0274798927613941;0.0469512195121951;0.0293997720382022;1;13;402;2.72;3.76;0;0;0;0;0;39;35;40;35;44;4;10;13.3513513513514;7.06689189189189;22526.9594594595;20;29;68.97
590000618;59;2592185;35.32;1;1;1;62;0.343971631205674;0.10589519650655;0.0946341463414634;0.230173477725024;0.0611021787963228;1;29;132;3.36;4.47;0;0;0;0;0;31;21;28;19;34;5;13;19.192;11.608;20512.4266666667;20;25;80
590780383;59;2592185;35.32;0;0;0;31;0.329931972789116;0.117149758454106;0.0876242095754291;0.105487586393628;0.0122979820947373;1;17;59;3.82;4.46;0;0;0;0;0;23;24;28;12;22;102;37;15.868;13.016;58438.16;18;21;85.71
590781951;59;2592185;35.32;1;1;1;59;0.337979094076655;0.110102156640182;0.0911654135338346;0.0972214966027504;0.0177792957201307;1;24;145;3.76;4.26;0;0;0;0;0;28;26;29;19;32;109;33;15.7105263157895;12.4960526315789;41135.0263157895;32;36;88.89
640780490;64;679354;44.79;0;1;0;14;0.042648709315376;0.0422691879866518;0.0424107142857143;0.0314553275079591;0.0276880467450902;1;10;24;4.27;4.23;0;0;0;0;0;36;26;36;29;34;4;2;19.2863636363636;21.3772727272727;21800.1818181818;5;7;71.43
690780259;69;1882339;33.81;0;1;0;21;0.105719237435009;0.0915915915915916;0.0630165289256198;0.010331945879832;0.0133481407952067;1;11;41;3.17;3.43;0;0;0;0;0;33;23;23;18;21;10;9;13.2695652173913;12.1869565217391;40712.8695652174;9;12;75
690780648;69;1882339;33.81;1;1;1;30;0.109318996415771;0.0947204968944099;0.0639412997903564;0.123988344126394;0.0254365730906908;1;21;28;3.44;3.81;0;0;0;0;0;26;18;22;15;16;42;41;18.09375;14.5625;73641.8125;10;16;62.5
690780655;69;1882339;33.81;0;1;0;13;0.0954616588419405;0.0813333333333333;0.0571696344892221;0.00011591323066732;0.0124174434942724;1;5;46;3.21;3.87;0;0;0;0;0;26;24;30;18;46;4;5;12.1923076923077;9.36410256410256;34438.5384615385;8;9;88.89
